client_id,client_type,loyalty_card,fuel_card,contract,fuel_type,tank_volume,avg_liters_per_visit,visits_per_month,avg_spend_per_visit,region
58102d3f-8355-47c5-b935-49d188450435,Физическое лицо,Нет,Нет,Нет,Бензин,45,42,9,3068,к. Обнинск
de13e6f6-d10c-4a53-85c0-72485b5fb585,Физическое лицо,Да,Да,Нет,Бензин,65,37,7,2522,с. Дагомыс
c7a6f323-1fc5-4b5b-83a8-b6ea7210ad27,Физическое лицо,Нет,Нет,Нет,Бензин,54,39,3,1641,с. Зеленоград
74f1a6ad-e079-4b70-8684-0e45f5a47d73,Физическое лицо,Да,Нет,Нет,Дизель,69,26,10,3113,ст. Холмогоры
c841baf9-8d50-4cbe-97b1-665872bf7822,Физическое лицо,Да,Нет,Нет,Бензин,57,48,7,2845,ст. Ряжск
be9d520f-548b-495f-879d-81ea9760d209,Физическое лицо,Да,Нет,Нет,Бензин,59,35,6,2116,с. Руза
905aeece-d039-4f6b-b6bf-54169f40d3c2,Физическое лицо,Да,Нет,Нет,Бензин,47,21,7,2414,к. Выборг
f67002e7-7164-4e9e-88cd-3f24d1e648c6,Физическое лицо,Да,Нет,Нет,Бензин,61,28,9,3459,д. Нижневартовск
f4dd4eaa-3331-4e72-88ae-2b15a782b0ea,Физическое лицо,Да,Нет,Нет,Бензин,63,47,9,2214,с. Тикси
dce98ebf-cc85-4110-a3ce-585fd050eb57,Физическое лицо,Да,Нет,Нет,Бензин,63,20,5,2396,д. Раменское
adbebf2d-5372-4845-84ad-95602cbf19ad,Физическое лицо,Нет,Нет,Нет,Дизель,69,25,3,1821,ст. Усмань
75b3c668-c9ef-426f-a436-31705ef1e4ff,Физическое лицо,Да,Да,Нет,Бензин,58,40,7,2018,к. Балашиха
a00394ce-9eaf-4cf2-b407-04d1baa29bd6,Физическое лицо,Да,Нет,Нет,Дизель,63,32,10,3139,с. Катайск
308d38dd-5269-49e7-8ff1-935f39d48c8c,Физическое лицо,Да,Нет,Нет,Бензин,58,40,5,2152,ст. Хасан
e426f931-c584-4b64-bdaf-feb1eba3b7f7,Физическое лицо,Нет,Нет,Нет,Бензин,52,49,2,3484,к. Норильск
4a53892e-684f-4191-9d4b-f7ede429f9cf,Физическое лицо,Да,Да,Нет,Бензин,44,36,2,1824,п. Петрозаводск
58c7c24b-295a-449a-b52b-fc8d6cde7755,Физическое лицо,Да,Нет,Нет,Бензин,56,27,8,2246,с. Верхнее Пенжино
07170ccf-8e46-4ff5-bf67-890d082ee43b,Физическое лицо,Да,Нет,Нет,Дизель,53,47,3,2351,ст. Поярково
eac458c4-51b3-4564-a170-a7aea14a84bb,Физическое лицо,Нет,Нет,Нет,Бензин,59,27,3,1515,п. Воронеж
21fe50bc-23f6-4e15-9422-ad7d746bcdf0,Физическое лицо,Да,Нет,Нет,Бензин,42,44,5,3711,к. Ершов
78177a97-6a9c-4f26-855e-bbe27eae9e29,Юридическое лицо,Нет,Да,Да,Дизель,88,112,13,5675,п. Магас
183a6973-f87c-4b93-aa59-0d9c7372910b,Физическое лицо,Да,Нет,Нет,Бензин,62,45,9,3297,к. Холмск
79e71ec2-9c70-4d26-bfda-da4b8391a1be,Юридическое лицо,Нет,Да,Да,Дизель,112,76,6,12025,г. Игарка
24e39dbf-216d-47f8-a5d1-0642122cb954,Юридическое лицо,Нет,Нет,Да,Дизель,148,63,13,13700,г. Усть-Калманка
802dcae0-2c51-411a-801c-cd5da68d0870,Физическое лицо,Да,Нет,Нет,Бензин,55,35,5,2543,с. Северо-Курильск
84c6a707-c5d1-4ec6-ab16-4aabf0ea52bb,Физическое лицо,Да,Нет,Нет,Бензин,57,39,4,3003,к. Уварово
c12242d2-ca52-4e57-8668-f22544ae8621,Физическое лицо,Да,Нет,Нет,Бензин,60,44,5,3339,ст. Вязьма
581c127b-f7bf-45a5-b00a-3cc1fb59d56f,Физическое лицо,Нет,Нет,Нет,Бензин,44,21,4,2962,п. Курган
9469e65c-5f4b-4f39-a600-324056096481,Физическое лицо,Да,Нет,Нет,Дизель,42,34,6,1547,ст. Радужный
68dcfda2-e285-4c98-910c-fe3ee754f6e5,Физическое лицо,Да,Нет,Нет,Бензин,46,40,9,3965,п. Апшеронск
146350ad-58e8-4b70-878f-9cac905eb22c,Физическое лицо,Да,Нет,Нет,Бензин,46,24,2,2915,д. Инта
ee04e240-9ad4-437b-a182-9f346eddd87f,Физическое лицо,Нет,Нет,Нет,Бензин,53,21,3,2820,д. Стерлитамак
9e0b665a-96c8-4781-b778-5e389ca42c62,Физическое лицо,Да,Да,Нет,Бензин,51,41,8,3714,клх Любань
a3ce888d-6e1d-4424-a75b-c03f260006ea,Физическое лицо,Да,Нет,Нет,Бензин,67,39,5,3350,с. Таганрог
6b8b6ad9-7b55-4dd6-b9d2-86952777360d,Физическое лицо,Нет,Нет,Нет,Дизель,56,25,10,3589,к. Апрелевка
e0b04d59-009a-45ae-a255-278d26b7fca9,Физическое лицо,Да,Нет,Нет,Бензин,66,40,9,3672,к. Ейск
c431b8df-2d77-4054-8874-693f60b13cb9,Физическое лицо,Да,Нет,Нет,Дизель,52,29,8,2440,д. Махачкала
42c4ae59-cf28-4c55-a919-c532286df40b,Физическое лицо,Нет,Да,Нет,Бензин,61,33,10,2431,д. Морозовск
b13c8517-9b0e-4bc1-a22b-509bb7a820e6,Физическое лицо,Да,Нет,Нет,Бензин,41,35,8,1849,клх Голицыно
9a8bc777-87e6-4ab8-b52a-a8591f27f6f2,Физическое лицо,Да,Нет,Нет,Дизель,66,48,6,1948,клх Ногинск (Моск.)
8b6cfa9e-6b8c-4ee6-8779-ea32cedd2479,Физическое лицо,Да,Нет,Нет,Дизель,51,30,8,2415,г. Тамбей
1712e4c6-aac4-443a-a723-a202d250e7a3,Физическое лицо,Да,Нет,Нет,Дизель,60,42,9,2222,к. Йошкар-Ола
91c91f86-e6fe-4f9b-9e08-b14fd82b8427,Физическое лицо,Нет,Нет,Нет,Бензин,52,43,5,1821,к. Минусинск
77d12e15-a559-4538-869b-73352e8a2d80,Юридическое лицо,Нет,Да,Да,Газ,84,72,17,10960,с. Назрань
2e13df1c-31ff-47c6-99ce-0798d6852be7,Физическое лицо,Да,Нет,Нет,Бензин,48,49,4,2454,д. Талдом
