client_id,client_type,loyalty_card,fuel_card,contract,fuel_type,tank_volume,avg_liters_per_visit,visits_per_month,avg_spend_per_visit,region,portrait_name
58102d3f-8355-47c5-b935-49d188450435,Физическое лицо,Нет,Нет,Нет,Бензин,45,42,9,3068,к. Обнинск,Постоянный клиент
de13e6f6-d10c-4a53-85c0-72485b5fb585,Физическое лицо,Да,Да,Нет,Бензин,65,37,7,2522,с. Дагомыс,Постоянный клиент
c7a6f323-1fc5-4b5b-83a8-b6ea7210ad27,Физическое лицо,Нет,Нет,Нет,Бензин,54,39,3,1641,с. Зеленоград,Экономный водитель
74f1a6ad-e079-4b70-8684-0e45f5a47d73,Физическое лицо,Да,Нет,Нет,Дизель,69,26,10,3113,ст. Холмогоры,Постоянный клиент
c841baf9-8d50-4cbe-97b1-665872bf7822,Физическое лицо,Да,Нет,Нет,Бензин,57,48,7,2845,ст. Ряжск,Постоянный клиент
be9d520f-548b-495f-879d-81ea9760d209,Физическое лицо,Да,Нет,Нет,Бензин,59,35,6,2116,с. Руза,Постоянный клиент
905aeece-d039-4f6b-b6bf-54169f40d3c2,Физическое лицо,Да,Нет,Нет,Бензин,47,21,7,2414,к. Выборг,Постоянный клиент
f67002e7-7164-4e9e-88cd-3f24d1e648c6,Физическое лицо,Да,Нет,Нет,Бензин,61,28,9,3459,д. Нижневартовск,Постоянный клиент
f4dd4eaa-3331-4e72-88ae-2b15a782b0ea,Физическое лицо,Да,Нет,Нет,Бензин,63,47,9,2214,с. Тикси,Постоянный клиент
dce98ebf-cc85-4110-a3ce-585fd050eb57,Физическое лицо,Да,Нет,Нет,Бензин,63,20,5,2396,д. Раменское,Эко-клиент
adbebf2d-5372-4845-84ad-95602cbf19ad,Физическое лицо,Нет,Нет,Нет,Дизель,69,25,3,1821,ст. Усмань,Экономный водитель
75b3c668-c9ef-426f-a436-31705ef1e4ff,Физическое лицо,Да,Да,Нет,Бензин,58,40,7,2018,к. Балашиха,Постоянный клиент
a00394ce-9eaf-4cf2-b407-04d1baa29bd6,Физическое лицо,Да,Нет,Нет,Дизель,63,32,10,3139,с. Катайск,Постоянный клиент
308d38dd-5269-49e7-8ff1-935f39d48c8c,Физическое лицо,Да,Нет,Нет,Бензин,58,40,5,2152,ст. Хасан,Постоянный клиент
e426f931-c584-4b64-bdaf-feb1eba3b7f7,Физическое лицо,Нет,Нет,Нет,Бензин,52,49,2,3484,к. Норильск,Эко-клиент
4a53892e-684f-4191-9d4b-f7ede429f9cf,Физическое лицо,Да,Да,Нет,Бензин,44,36,2,1824,п. Петрозаводск,Редкий клиент
58c7c24b-295a-449a-b52b-fc8d6cde7755,Физическое лицо,Да,Нет,Нет,Бензин,56,27,8,2246,с. Верхнее Пенжино,Постоянный клиент
07170ccf-8e46-4ff5-bf67-890d082ee43b,Физическое лицо,Да,Нет,Нет,Дизель,53,47,3,2351,ст. Поярково,Эко-клиент
eac458c4-51b3-4564-a170-a7aea14a84bb,Физическое лицо,Нет,Нет,Нет,Бензин,59,27,3,1515,п. Воронеж,Экономный водитель
21fe50bc-23f6-4e15-9422-ad7d746bcdf0,Физическое лицо,Да,Нет,Нет,Бензин,42,44,5,3711,к. Ершов,Постоянный клиент
78177a97-6a9c-4f26-855e-bbe27eae9e29,Юридическое лицо,Нет,Да,Да,Дизель,88,112,13,5675,п. Магас,Грузоперевозчик
183a6973-f87c-4b93-aa59-0d9c7372910b,Физическое лицо,Да,Нет,Нет,Бензин,62,45,9,3297,к. Холмск,Постоянный клиент
79e71ec2-9c70-4d26-bfda-da4b8391a1be,Юридическое лицо,Нет,Да,Да,Дизель,112,76,6,12025,г. Игарка,Постоянный корпоративный клиент
24e39dbf-216d-47f8-a5d1-0642122cb954,Юридическое лицо,Нет,Нет,Да,Дизель,148,63,13,13700,г. Усть-Калманка,Постоянный корпоративный клиент
802dcae0-2c51-411a-801c-cd5da68d0870,Физическое лицо,Да,Нет,Нет,Бензин,55,35,5,2543,с. Северо-Курильск,Постоянный клиент
84c6a707-c5d1-4ec6-ab16-4aabf0ea52bb,Физическое лицо,Да,Нет,Нет,Бензин,57,39,4,3003,к. Уварово,Постоянный клиент
c12242d2-ca52-4e57-8668-f22544ae8621,Физическое лицо,Да,Нет,Нет,Бензин,60,44,5,3339,ст. Вязьма,Постоянный клиент
581c127b-f7bf-45a5-b00a-3cc1fb59d56f,Физическое лицо,Нет,Нет,Нет,Бензин,44,21,4,2962,п. Курган,Экономный водитель
9469e65c-5f4b-4f39-a600-324056096481,Физическое лицо,Да,Нет,Нет,Дизель,42,34,6,1547,ст. Радужный,Эко-клиент
68dcfda2-e285-4c98-910c-fe3ee754f6e5,Физическое лицо,Да,Нет,Нет,Бензин,46,40,9,3965,п. Апшеронск,Постоянный клиент
146350ad-58e8-4b70-878f-9cac905eb22c,Физическое лицо,Да,Нет,Нет,Бензин,46,24,2,2915,д. Инта,Экономный водитель
ee04e240-9ad4-437b-a182-9f346eddd87f,Физическое лицо,Нет,Нет,Нет,Бензин,53,21,3,2820,д. Стерлитамак,Экономный водитель
9e0b665a-96c8-4781-b778-5e389ca42c62,Физическое лицо,Да,Да,Нет,Бензин,51,41,8,3714,клх Любань,Постоянный клиент
a3ce888d-6e1d-4424-a75b-c03f260006ea,Физическое лицо,Да,Нет,Нет,Бензин,67,39,5,3350,с. Таганрог,Постоянный клиент
6b8b6ad9-7b55-4dd6-b9d2-86952777360d,Физическое лицо,Нет,Нет,Нет,Дизель,56,25,10,3589,к. Апрелевка,Постоянный клиент
e0b04d59-009a-45ae-a255-278d26b7fca9,Физическое лицо,Да,Нет,Нет,Бензин,66,40,9,3672,к. Ейск,Постоянный клиент
c431b8df-2d77-4054-8874-693f60b13cb9,Физическое лицо,Да,Нет,Нет,Дизель,52,29,8,2440,д. Махачкала,Постоянный клиент
42c4ae59-cf28-4c55-a919-c532286df40b,Физическое лицо,Нет,Да,Нет,Бензин,61,33,10,2431,д. Морозовск,Постоянный клиент
b13c8517-9b0e-4bc1-a22b-509bb7a820e6,Физическое лицо,Да,Нет,Нет,Бензин,41,35,8,1849,клх Голицыно,Постоянный клиент
9a8bc777-87e6-4ab8-b52a-a8591f27f6f2,Физическое лицо,Да,Нет,Нет,Дизель,66,48,6,1948,клх Ногинск (Моск.),Эко-клиент
8b6cfa9e-6b8c-4ee6-8779-ea32cedd2479,Физическое лицо,Да,Нет,Нет,Дизель,51,30,8,2415,г. Тамбей,Постоянный клиент
1712e4c6-aac4-443a-a723-a202d250e7a3,Физическое лицо,Да,Нет,Нет,Дизель,60,42,9,2222,к. Йошкар-Ола,Постоянный клиент
91c91f86-e6fe-4f9b-9e08-b14fd82b8427,Физическое лицо,Нет,Нет,Нет,Бензин,52,43,5,1821,к. Минусинск,Эко-клиент
77d12e15-a559-4538-869b-73352e8a2d80,Юридическое лицо,Нет,Да,Да,Газ,84,72,17,10960,с. Назрань,Постоянный корпоративный клиент
2e13df1c-31ff-47c6-99ce-0798d6852be7,Физическое лицо,Да,Нет,Нет,Бензин,48,49,4,2454,д. Талдом,Постоянный клиент
f916035e-682e-484e-946f-3ad51321bef1,Юридическое лицо,Нет,Да,Да,Дизель,145,95,11,12452,п. Брянск,Грузоперевозчик
c45333e4-6f57-4fbc-939e-60da3e52ff94,Физическое лицо,Да,Нет,Нет,Дизель,40,37,8,1594,к. Таганрог,Постоянный клиент
f9b1f500-76da-4315-a397-dfd971572121,Физическое лицо,Да,Нет,Нет,Бензин,47,36,8,2793,г. Черкесск,Постоянный клиент
bfc6a573-c6a6-493b-82cf-840f80f2aa01,Физическое лицо,Да,Нет,Нет,Бензин,44,50,5,3361,к. Красновишерск,Постоянный клиент
86c389f5-7ab9-4ac3-aa49-63a311e09fba,Физическое лицо,Да,Нет,Нет,Бензин,54,38,8,3446,с. Ербогачен,Постоянный клиент
de6ba37b-f897-4cdc-9517-36c81ee446a2,Физическое лицо,Да,Нет,Нет,Бензин,40,35,6,1759,ст. Верхоянск,Эко-клиент
4faebd08-4077-4a96-bb24-3a0b44fa0d54,Физическое лицо,Нет,Нет,Нет,Бензин,59,29,2,1564,клх Красногорск (Моск.),Редкий клиент
f93de799-ae22-4cb7-8e75-ff17ccfa832f,Физическое лицо,Да,Нет,Нет,Бензин,64,45,6,3432,г. Юрьев-Польский,Постоянный клиент
2ed6519a-6d9e-43d8-82f0-2cb8f6cbeebb,Физическое лицо,Да,Нет,Нет,Бензин,44,21,3,2242,клх Брянск,Экономный водитель
8c29a808-60ed-41ce-a050-797c206deb93,Физическое лицо,Да,Нет,Нет,Дизель,55,39,2,3654,с. Баргузин,Эко-клиент
b7bab1bd-713c-48e7-be96-b432e79ba19b,Юридическое лицо,Нет,Да,Да,Газ,96,112,9,14003,д. Минусинск,Грузоперевозчик
dedb9de6-aa4f-4b68-8945-822d7ffb4508,Физическое лицо,Да,Да,Нет,Бензин,61,31,4,3908,п. Можайск,Постоянный клиент
79c3d5a0-1398-4e13-b329-4fa56f6c3b25,Физическое лицо,Нет,Нет,Нет,Бензин,62,44,6,3615,ст. Тайшет,Постоянный клиент
3a5a3ec8-a7a3-47df-aa0e-4ea5226a07d0,Физическое лицо,Да,Нет,Нет,Бензин,65,21,6,2721,клх Верхний Баскунчак,Эко-клиент
3e7298e4-7386-4bdb-afd3-3fa1bf147395,Юридическое лицо,Нет,Да,Да,Дизель,144,115,5,13042,д. Алдан,Грузоперевозчик
15cee659-91ed-40dd-8710-b6ccaa342e9c,Физическое лицо,Да,Нет,Нет,Дизель,58,44,4,3780,п. Рязань,Постоянный клиент
cba48851-427d-4fbe-8a34-8e8d5f395217,Физическое лицо,Да,Нет,Нет,Бензин,68,43,10,2815,п. Санкт-Петербург,Постоянный клиент
91abdc72-4fe2-4d33-b49c-c04e307c6d49,Физическое лицо,Да,Нет,Нет,Дизель,58,25,6,1540,д. Верхотурье,Эко-клиент
76a0bb2c-3086-4216-b571-843db89c3109,Физическое лицо,Да,Нет,Нет,Бензин,52,33,7,1632,г. Тимашевск,Постоянный клиент
9d08e979-f750-4648-8d9f-d08cff8cc358,Физическое лицо,Да,Да,Нет,Бензин,41,36,8,1754,г. Шумиха,Постоянный клиент
f928e9ee-4940-468a-a5b4-91b22af8fdb2,Юридическое лицо,Нет,Да,Да,Дизель,93,87,13,5184,п. Южноуральск,Грузоперевозчик
f10ab439-7a14-477e-9f3b-609ff7bde13e,Юридическое лицо,Нет,Да,Да,Газ,119,117,18,12734,п. Уренгой,Грузоперевозчик
98bf1b3b-9413-4b69-afc4-669ec78bfd7f,Физическое лицо,Да,Нет,Нет,Бензин,51,35,7,1746,г. Наро-Фоминск,Постоянный клиент
158d2aa6-76ec-434d-88b9-edcb4c2e0c32,Физическое лицо,Да,Нет,Нет,Дизель,60,28,2,1909,п. Нефтегорск (Самар.),Редкий клиент
7effcb1f-a2a3-4c7c-a305-ca0c4d1fff4b,Физическое лицо,Нет,Нет,Нет,Бензин,48,36,4,2501,п. Троицко-Печорск,Постоянный клиент
a6db8841-140c-4bf7-aa1f-72ea2bd90c9b,Физическое лицо,Да,Да,Нет,Бензин,65,31,10,2097,к. Куртамыш,Постоянный клиент
f76b2785-31fb-4fef-a242-9f3173c96aa3,Физическое лицо,Да,Нет,Нет,Бензин,70,46,6,2969,д. Меренга,Постоянный клиент
2cddbffd-b8e1-4e05-a562-6bb29f792e47,Физическое лицо,Нет,Нет,Нет,Бензин,68,36,9,2271,д. Троицк (Моск.),Постоянный клиент
bcf8c40d-228d-48d8-b415-33a3c9d6b06b,Юридическое лицо,Нет,Да,Да,Бензин,80,100,13,9037,ст. Костомукша,Грузоперевозчик
41eedac7-f902-438a-aa7b-13e9caeb9988,Физическое лицо,Да,Нет,Нет,Дизель,50,42,3,2053,д. Ясный (Оренб.),Эко-клиент
84bb6238-44c3-4b11-b8a1-8ecf1f6d9cd7,Физическое лицо,Да,Нет,Нет,Бензин,60,25,5,2350,клх Мирный,Эко-клиент
6be914d3-d18d-43d4-a89c-cffbca1359b9,Физическое лицо,Да,Нет,Нет,Бензин,40,25,4,1517,с. Катав-Ивановск,Экономный водитель
2a1b2c6f-8d1d-4e2e-897d-c5d8ca6667e6,Юридическое лицо,Нет,Нет,Да,Дизель,81,99,17,11485,п. Гремячинск (Перм.),Грузоперевозчик
03da6f34-9890-4d54-aad0-daea4f22d6a5,Физическое лицо,Да,Нет,Нет,Бензин,63,40,8,1982,ст. Нарым,Постоянный клиент
5dcf35db-514a-4762-8f46-35bae2be363f,Физическое лицо,Да,Да,Нет,Бензин,58,48,9,3347,г. Рославль,Постоянный клиент
44e2cf32-eeb9-47e3-ac8e-2af24b886a2b,Физическое лицо,Да,Нет,Нет,Бензин,55,22,3,2150,клх Якутск,Экономный водитель
1d10ce52-c2d0-4ac6-9f65-b6f3789abb7d,Физическое лицо,Да,Нет,Нет,Бензин,70,23,2,2706,с. Минеральные Воды,Экономный водитель
a160eeb5-896f-4ff8-acd7-76a2a9792264,Физическое лицо,Да,Да,Нет,Дизель,46,31,5,2414,д. Каргасок,Постоянный клиент
413f637e-a9e6-48f8-a9e3-980fb74d2f44,Физическое лицо,Да,Да,Нет,Бензин,47,46,9,3727,д. Камышлов,Постоянный клиент
dc2ca00a-7feb-4bad-a81b-d1b027233b6f,Физическое лицо,Да,Нет,Нет,Бензин,45,34,5,2762,г. Лагань,Постоянный клиент
e6da04ce-a370-4687-a2f4-89cce697595c,Физическое лицо,Нет,Нет,Нет,Дизель,52,44,6,3511,ст. Минусинск,Постоянный клиент
476ef566-c5a8-4a05-9bcd-84fae2cfcc2d,Физическое лицо,Да,Нет,Нет,Бензин,48,48,9,2844,с. Ясный (Оренб.),Постоянный клиент
